# 401 entries have an empty IconUrl.
# Grouped by category. Format: <ShortName>  [P=prefab, I=item]  <PrefabPath>

## Building  (5)
  [I]  extendedmags.entity                       extendedmags.entity
  [I]  F15E                                      F15E
  [I]  FlammableSiegeDeployable                  FlammableSiegeDeployable
  [I]  flashlight.vm.attachment                  flashlight.vm.attachment
  [I]  floor.triangle                            floor.triangle
  [I]  flute.weapon                              flute.weapon
  [I]  foundation.steps                          foundation.steps
  [I]  foundation.triangle                       foundation.triangle
  [I]  FrankensteinPet                           FrankensteinPet
  [I]  FrankensteinPetMarker                     FrankensteinPetMarker
  [I]  fuel_storage                              fuel_storage
  [I]  FuelStorage                               FuelStorage
  [I]  gascompressionoverdrive.entity            gascompressionoverdrive.entity
  [I]  generic_deploy                            generic_deploy
  [I]  generic_world                             generic_world
  [I]  GenericRadiusMarker                       GenericRadiusMarker
  [I]  GhostShipMapMarker                        GhostShipMapMarker
  [I]  GraveyardFence                            GraveyardFence
  [I]  grenade.supplysignal.deployed             grenade.supplysignal.deployed
  [I]  guitar.weapon                             guitar.weapon
  [I]  GunnerTest                                GunnerTest
  [I]  hab_storage                               hab_storage
  [I]  hacksaw.weapon                            hacksaw.weapon
  [I]  HalloweenHunt                             HalloweenHunt
  [I]  hardcore                                  hardcore
  [I]  HexagonGrid.entity                        HexagonGrid.entity
  [I]  holosight.vm.attachment                   holosight.vm.attachment
  [I]  industrial.wall.lamp.blue.deployed        industrial.wall.lamp.blue.deployed
  [I]  industrial.wall.lamp.deployed             industrial.wall.lamp.deployed
  [I]  industrial.wall.lamp.green.deployed       industrial.wall.lamp.green.deployed
  [I]  industrial.wall.lamp.red.deployed         industrial.wall.lamp.red.deployed
  [I]  InternalMountedDouble50CalTurretSeat      InternalMountedDouble50CalTurretSeat
  [I]  InternalMountedTurretSeat                 InternalMountedTurretSeat
  [I]  IslandMarker                              IslandMarker
  [I]  item_drop                                 item_drop
  [I]  item_drop_backpack                        item_drop_backpack
  [I]  item_drop_buoyant                         item_drop_buoyant
  [I]  jerrycanguitar.weapon                     jerrycanguitar.weapon
  [I]  KayakSeat                                 KayakSeat
  [I]  keycard.entity                            keycard.entity
  [I]  keycard_blue_pickup.entity                keycard_blue_pickup.entity
  [I]  keycard_green_pickup.entity               keycard_green_pickup.entity
  [I]  keycard_red_pickup.entity                 keycard_red_pickup.entity
  [I]  kingofthehillDM                           kingofthehillDM
  [I]  kingofthehillTeam                         kingofthehillTeam
  [I]  LargeCandleSet                            LargeCandleSet
  [I]  lasersight.vm.attachment                  lasersight.vm.attachment
  [I]  loud.phonebooth.static                    loud.phonebooth.static
  [I]  MarketTerminal                            MarketTerminal
  [I]  MessTableSeat                             MessTableSeat
  [I]  metal_detector_flag.entity                metal_detector_flag.entity
  [I]  metal_detector_source.entity              metal_detector_source.entity
  [I]  MGL.entity                                MGL.entity
  [I]  MineDungeon                               MineDungeon
  [I]  MissionProvider_Stables_A                 MissionProvider_Stables_A
  [I]  MissionProvider_Stables_B                 MissionProvider_Stables_B
  [I]  MissionProviderMarker                     MissionProviderMarker
  [I]  ModularCarDriverSeat                      ModularCarDriverSeat
  [I]  ModularCarPassengerSeatLeft               ModularCarPassengerSeatLeft
  [I]  ModularCarPassengerSeatLessLegroomLeft    ModularCarPassengerSeatLessLegroomLeft
  [I]  ModularCarPassengerSeatLessLegroomRight   ModularCarPassengerSeatLessLegroomRight
  [I]  ModularCarPassengerSeatRight              ModularCarPassengerSeatRight
  [I]  ModularCarPassengerSeatSidewayLeft        ModularCarPassengerSeatSidewayLeft
  [I]  net_env                                   net_env
  [I]  net_global                                net_global
  [I]  nexusisland                               nexusisland
  [I]  NPC_UnderwaterDweller                     NPC_UnderwaterDweller
  [I]  NPCPlayerTest                             NPCPlayerTest
  [I]  nuke_combined                             nuke_combined
  [I]  onedeath                                  onedeath
  [I]  orebonus_generic                          orebonus_generic
  [I]  orebonus_wood                             orebonus_wood
  [I]  pager.entity                              pager.entity
  [I]  ParachuteSeat                             ParachuteSeat
  [I]  Passenger                                 Passenger
  [I]  PedalBike                                 PedalBike
  [I]  PilotSeat                                 PilotSeat
  [I]  player                                    player
  [I]  player_corpse                             player_corpse
  [I]  player_temp_ragdoll                       player_temp_ragdoll
  [I]  ReclaimManager                            ReclaimManager
  [I]  relationship_manager                      relationship_manager
  [I]  ResourceDepositManager                    ResourceDepositManager
  [I]  rocket_basic                              rocket_basic
  [I]  rocket_basic_rpg                          rocket_basic_rpg
  [I]  rocket_crane_lift_trigger                 rocket_crane_lift_trigger
  [I]  rocket_heatseeker                         rocket_heatseeker
  [I]  rocket_heli                               rocket_heli
  [I]  rocket_heli_airburst                      rocket_heli_airburst
  [I]  rocket_hv                                 rocket_hv
  [I]  rocket_hv_rpg                             rocket_hv_rpg
  [I]  rocket_smoke                              rocket_smoke
  [I]  roof.triangle                             roof.triangle
  [I]  scrapframe.ioEnt.large                    scrapframe.ioEnt.large
  [I]  scrapframe.ioEnt.medium                   scrapframe.ioEnt.medium
  [I]  scrapframe.ioEnt.small                    scrapframe.ioEnt.small
  [I]  scrapframe.ioEnt.standing                 scrapframe.ioEnt.standing
  [I]  scrapframe.ioEnt.xl                       scrapframe.ioEnt.xl
  [I]  scrapframe.ioEnt.xxl                      scrapframe.ioEnt.xxl
  [I]  SeekerTest                                SeekerTest
  [I]  ServerGibs_ScrapTransport                 ServerGibs_ScrapTransport
  [I]  Shopkeeper_VM_Invis_WaterWell             Shopkeeper_VM_Invis_WaterWell
  [I]  simplesight.vm.attachment                 simplesight.vm.attachment
  [I]  skulltrophy.jar.deployed                  skulltrophy.jar.deployed
  [I]  skulltrophy.jar2.deployed                 skulltrophy.jar2.deployed
  [I]  SledSeatFront                             SledSeatFront
  [I]  SledSeatRear                              SledSeatRear
  [I]  SmallCandleSet                            SmallCandleSet
  [I]  smallscope.vm.attachment                  smallscope.vm.attachment
  [I]  softcore                                  softcore
  [I]  sphere                                    sphere
  [I]  SpiderWebA                                SpiderWebA
  [I]  spray.decal                               spray.decal
  [I]  SprayLineDecal                            SprayLineDecal
  [I]  stables_shopkeeper                        stables_shopkeeper
  [I]  StandingDriver                            StandingDriver
  [I]  StandingMounted50CalTurretSeat            StandingMounted50CalTurretSeat
  [I]  StandingMountedTurretSeat                 StandingMountedTurretSeat
  [I]  StaticRespawnZoneCompound                 StaticRespawnZoneCompound
  [I]  StaticRespawnZoneCompound_Vanilla         StaticRespawnZoneCompound_Vanilla
  [I]  supplysignal.weapon                       supplysignal.weapon
  [I]  tambourine.weapon                         tambourine.weapon
  [I]  targetingattachment.entity                targetingattachment.entity
  [I]  teamdeathmatch                            teamdeathmatch
  [I]  TestSeat                                  TestSeat
  [I]  TorpedoStraight                           TorpedoStraight
  [I]  TravellingVendorMarker                    TravellingVendorMarker
  [I]  tuba.weapon                               tuba.weapon
  [I]  TumblingBoulder.entity                    TumblingBoulder.entity
  [I]  TumblingChassis.entity                    TumblingChassis.entity
  [I]  TutorialMapMarker                         TutorialMapMarker
  [I]  TwitchBusSeat                             TwitchBusSeat
  [I]  vanilla                                   vanilla
  [I]  VineSwingMountable                        VineSwingMountable
  [I]  wall.half                                 wall.half
  [I]  wall.window                               wall.window
  [I]  wallpaper.floor.construction              wallpaper.floor.construction
  [I]  wallpaper.roof.construction               wallpaper.roof.construction
  [I]  wallpaper.window.construction             wallpaper.window.construction
  [I]  warhead_cable_single                      warhead_cable_single
  [I]  Water Wheel                               Water Wheel
  [I]  waterball                                 waterball
  [I]  waterstorage                              waterstorage
  [I]  waterwell_shopkeeper                      waterwell_shopkeeper
  [I]  waterwheel.mountable                      waterwheel.mountable
  [I]  weapontest                                weapontest
  [I]  wipe_laptop                               wipe_laptop
  [I]  WipeTimer                                 WipeTimer
  [I]  WorkCartDriver                            WorkCartDriver
  [I]  xmas.advanced.lights.deployed             xmas.advanced.lights.deployed
  [I]  XMasDwelling_A                            XMasDwelling_A
  [I]  XMasDwelling_B                            XMasDwelling_B
  [I]  XMasDwelling_C                            XMasDwelling_C
  [I]  XMasDwelling_D                            XMasDwelling_D
  [I]  XMasRefill                                XMasRefill
  [I]  Zombie                                    Zombie

## Monuments  (7)
  [I]  EngineListener                            EngineListener
  [I]  Excavator Lighting Static                 Excavator Lighting Static
  [I]  ExcavatorSignalComputer                   ExcavatorSignalComputer
  [I]  NPC_Bandit_Guard                          NPC_Bandit_Guard
  [I]  oil_rig_radiation                         oil_rig_radiation
  [I]  OilRigResetNotification                   OilRigResetNotification
  [I]  StaticRespawnZoneBandit                   StaticRespawnZoneBandit

## NPC  (38)
  [I]  AirWolfSpawner                            AirWolfSpawner
  [I]  AlarmSytstem                              AlarmSytstem
  [I]  bandit_conversationalist                  bandit_conversationalist
  [I]  bandit_shopkeeper                         bandit_shopkeeper
  [I]  boat_shopkeeper                           boat_shopkeeper
  [I]  BoatSpawner                               BoatSpawner
  [I]  cargo_plane                               cargo_plane
  [I]  ch47scientists.entity                     ch47scientists.entity
  [I]  flameturret_fireball                      flameturret_fireball
  [I]  frankensteinpet_corpse                    frankensteinpet_corpse
  [I]  MissionProvider_Bandit_A                  MissionProvider_Bandit_A
  [I]  MissionProvider_Bandit_B                  MissionProvider_Bandit_B
  [I]  MissionProvider_Fishing_A                 MissionProvider_Fishing_A
  [I]  MissionProvider_Fishing_B                 MissionProvider_Fishing_B
  [I]  MissionProvider_FloatingCity_A            MissionProvider_FloatingCity_A
  [I]  MissionProvider_Generic_A                 MissionProvider_Generic_A
  [I]  MissionProvider_Outpost_A                 MissionProvider_Outpost_A
  [I]  MissionProvider_Outpost_B                 MissionProvider_Outpost_B
  [I]  MissionProvider_Stables_A                 MissionProvider_Stables_A
  [I]  MissionProvider_Stables_B                 MissionProvider_Stables_B
  [I]  missionprovider_test                      missionprovider_test
  [I]  MissionProvider_Tutorial                  MissionProvider_Tutorial
  [I]  murderer_corpse                           murderer_corpse
  [I]  oilFireball2                              oilFireball2
  [I]  player_corpse                             player_corpse
  [I]  player_corpse_new                         player_corpse_new
  [I]  ReinforcementsListener                    ReinforcementsListener
  [I]  rocket_heli                               rocket_heli
  [I]  rocket_heli_airburst                      rocket_heli_airburst
  [I]  rocket_heli_napalm                        rocket_heli_napalm
  [I]  sam_ammo                                  sam_ammo
  [I]  ScientistNPC_Arena                        ScientistNPC_Arena
  [I]  sentry.scientist.barge                    sentry.scientist.barge
  [I]  sentry.scientist.barge.static             sentry.scientist.barge.static
  [I]  sentry.scientist.static                   sentry.scientist.static
  [I]  stables_shopkeeper                        stables_shopkeeper
  [I]  waterwell_shopkeeper                      waterwell_shopkeeper
  [I]  Zombie.Corpse                             Zombie.Corpse

## Nature  (37)
  [I]  deepsea_billboard_island                  deepsea_billboard_island
  [I]  deepsea_billboard_mainisland              deepsea_billboard_mainisland
  [I]  FloatingCityMapMarker                     FloatingCityMapMarker
  [I]  IslandMapMarker                           IslandMapMarker
  [I]  NPC_TunnelDweller                         NPC_TunnelDweller
  [I]  NPC_TunnelDwellerSpawned                  NPC_TunnelDwellerSpawned
  [I]  NPC_UnderwaterDweller                     NPC_UnderwaterDweller
  [I]  UnderwaterLab_Dwelling_300_Corner_A       UnderwaterLab_Dwelling_300_Corner_A
  [I]  UnderwaterLab_Dwelling_300_Corner_B       UnderwaterLab_Dwelling_300_Corner_B
  [I]  UnderwaterLab_Dwelling_300_Corner_C       UnderwaterLab_Dwelling_300_Corner_C
  [I]  UnderwaterLab_Dwelling_300_Corner_D       UnderwaterLab_Dwelling_300_Corner_D
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_A  UnderwaterLab_Dwelling_300_Corner_DEEP_A
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_B  UnderwaterLab_Dwelling_300_Corner_DEEP_B
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_C  UnderwaterLab_Dwelling_300_Corner_DEEP_C
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_D  UnderwaterLab_Dwelling_300_Corner_DEEP_D
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_E  UnderwaterLab_Dwelling_300_Corner_DEEP_E
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_F  UnderwaterLab_Dwelling_300_Corner_DEEP_F
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_G  UnderwaterLab_Dwelling_300_Corner_DEEP_G
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_H  UnderwaterLab_Dwelling_300_Corner_DEEP_H
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_I  UnderwaterLab_Dwelling_300_Corner_DEEP_I
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_J  UnderwaterLab_Dwelling_300_Corner_DEEP_J
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_K  UnderwaterLab_Dwelling_300_Corner_DEEP_K
  [I]  UnderwaterLab_Dwelling_300_Corner_DEEP_L  UnderwaterLab_Dwelling_300_Corner_DEEP_L
  [I]  UnderwaterLab_Dwelling_300_Corner_E       UnderwaterLab_Dwelling_300_Corner_E
  [I]  UnderwaterLab_Dwelling_300_Corner_F       UnderwaterLab_Dwelling_300_Corner_F
  [I]  UnderwaterLab_Dwelling_300_Corner_G       UnderwaterLab_Dwelling_300_Corner_G
  [I]  UnderwaterLab_Dwelling_300_Corner_H       UnderwaterLab_Dwelling_300_Corner_H
  [I]  UnderwaterLab_Dwelling_300_Corner_I       UnderwaterLab_Dwelling_300_Corner_I
  [I]  UnderwaterLab_Dwelling_300_Corner_J       UnderwaterLab_Dwelling_300_Corner_J
  [I]  UnderwaterLab_Dwelling_300_Corner_K       UnderwaterLab_Dwelling_300_Corner_K
  [I]  UnderwaterLab_Dwelling_300_Corner_L       UnderwaterLab_Dwelling_300_Corner_L
  [I]  UnderwaterLab_Dwelling_600_Corner_A       UnderwaterLab_Dwelling_600_Corner_A
  [I]  UnderwaterLab_Dwelling_600_Corner_B       UnderwaterLab_Dwelling_600_Corner_B
  [I]  UnderwaterLab_Dwelling_600_Corner_C       UnderwaterLab_Dwelling_600_Corner_C
  [I]  UnderwaterLab_Dwelling_600_Corner_D       UnderwaterLab_Dwelling_600_Corner_D
  [I]  UnderwaterLab_Dwelling_600_Corner_E       UnderwaterLab_Dwelling_600_Corner_E
  [I]  UnderwaterLab_Dwelling_600_Corner_F       UnderwaterLab_Dwelling_600_Corner_F

## Plants  (21)
  [I]  Fireball                                  Fireball
  [I]  Fireball_Ballista                         Fireball_Ballista
  [I]  Fireball_Catapult                         Fireball_Catapult
  [I]  Fireball_Small                            Fireball_Small
  [I]  Fireball_Small_Arrow                      Fireball_Small_Arrow
  [I]  Fireball_Small_Molotov                    Fireball_Small_Molotov
  [I]  fireball_small_shotgun                    fireball_small_shotgun
  [I]  grass_displace_large                      grass_displace_large
  [I]  grass_displace_medium                     grass_displace_medium
  [I]  grass_displace_small                      grass_displace_small
  [I]  napalm                                    napalm
  [I]  oilFireballSmall                          oilFireballSmall
  [I]  palm_tree_short_a_entity                  palm_tree_short_a_entity
  [I]  palm_tree_short_b_entity                  palm_tree_short_b_entity
  [I]  palm_tree_short_c_entity                  palm_tree_short_c_entity
  [I]  rocket_fire                               rocket_fire
  [I]  rocket_fire_rpg                           rocket_fire_rpg
  [I]  tree_manager                              tree_manager
  [I]  Tree_Marking                              Tree_Marking
  [I]  Tree_Marking_NoSpherecast                 Tree_Marking_NoSpherecast
  [I]  VineSwingingTreeStump                     VineSwingingTreeStump

## Signs  (2)
  [I]  SignContent                               SignContent
  [I]  wall.frame                                wall.frame

## Vehicle  (51)
  [I]  50cal.base.entity                         50cal.base.entity
  [I]  50cal.left.entity                         50cal.left.entity
  [I]  50cal.right.entity                        50cal.right.entity
  [I]  50cal.single.entity                       50cal.single.entity
  [I]  _BikeBase                                 _BikeBase
  [I]  BlackjackMachine.static                   BlackjackMachine.static
  [I]  BlackjackPlayerSeat                       BlackjackPlayerSeat
  [I]  BlackjackPlayerStorage                    BlackjackPlayerStorage
  [I]  BlackjackPotStorage                       BlackjackPotStorage
  [I]  CardGamePlayerStorage                     CardGamePlayerStorage
  [I]  CardGamePotStorage                        CardGamePotStorage
  [I]  CargoShipTest                             CargoShipTest
  [I]  door.hinged.mboat.wood                    door.hinged.mboat.wood
  [I]  DPVFuelStorage                            DPVFuelStorage
  [I]  floor.triangle                            floor.triangle
  [I]  fuel_storage                              fuel_storage
  [I]  fuel_storage_attackheli                   fuel_storage_attackheli
  [I]  hab_storage                               hab_storage
  [I]  JunkTest                                  JunkTest
  [I]  lightupframe.ioEnt.xxl                    lightupframe.ioEnt.xxl
  [I]  MiniHeliPassenger                         MiniHeliPassenger
  [I]  MiniHeliSeat                              MiniHeliSeat
  [I]  mlrs_dashboard_storage                    mlrs_dashboard_storage
  [I]  modular_car_1mod_storage                  modular_car_1mod_storage
  [I]  modular_car_1mod_trade                    modular_car_1mod_trade
  [I]  modular_car_2mod_fuel_tank                modular_car_2mod_fuel_tank
  [I]  modular_car_camper_storage                modular_car_camper_storage
  [I]  modular_car_fuel_storage                  modular_car_fuel_storage
  [I]  modular_car_I4_engine_storage             modular_car_I4_engine_storage
  [I]  modular_car_radio                         modular_car_radio
  [I]  modular_car_V8_engine_storage             modular_car_V8_engine_storage
  [I]  PedalBike                                 PedalBike
  [I]  PlayerBoat                                PlayerBoat
  [I]  rockets_attackheli                        rockets_attackheli
  [I]  scrapframe.ioEnt.large                    scrapframe.ioEnt.large
  [I]  scrapframe.ioEnt.medium                   scrapframe.ioEnt.medium
  [I]  scrapframe.ioEnt.small                    scrapframe.ioEnt.small
  [I]  scrapframe.ioEnt.standing                 scrapframe.ioEnt.standing
  [I]  scrapframe.ioEnt.xl                       scrapframe.ioEnt.xl
  [I]  scrapframe.ioEnt.xxl                      scrapframe.ioEnt.xxl
  [I]  ServerGibs_ScrapTransport                 ServerGibs_ScrapTransport
  [I]  Shreddable_PickupTruck                    Shreddable_PickupTruck
  [I]  SmallBoatDriver                           SmallBoatDriver
  [I]  SmallBoatPassenger                        SmallBoatPassenger
  [I]  TrainBarricade                            TrainBarricade
  [I]  TrainBarricadeHeavy                       TrainBarricadeHeavy
  [I]  TransportHeliCoPilot                      TransportHeliCoPilot
  [I]  TransportHeliPilot                        TransportHeliPilot
  [I]  turret_attackheli                         turret_attackheli
  [I]  TwitchBus                                 TwitchBus
  [I]  wall.window                               wall.window

## Wallpaper  (10)
  [I]  wallpaper.doorway.construction            wallpaper.doorway.construction
  [I]  wallpaper.floor.construction              wallpaper.floor.construction
  [I]  wallpaper.foundation.construction         wallpaper.foundation.construction
  [I]  wallpaper.foundation.triangle.construction  wallpaper.foundation.triangle.construction
  [I]  wallpaper.roof.construction               wallpaper.roof.construction
  [I]  wallpaper.roof.triangle.construction      wallpaper.roof.triangle.construction
  [I]  wallpaper.wall.construction               wallpaper.wall.construction
  [I]  wallpaper.wall.half.construction          wallpaper.wall.half.construction
  [I]  wallpaper.wall.low.construction           wallpaper.wall.low.construction
  [I]  wallpaper.window.construction             wallpaper.window.construction

